Rank,Release Group,Worldwide,Domestic,%,Foreign,%
404,Who's Your Caddy?,"$5,713,425","$5,713,425",100%,-,-
405,The Sovereign's Servant,"$5,668,177",-,-,"$5,668,177",100%
406,Dlaczego nie!,"$5,579,893",-,-,"$5,579,893",100%
407,The Contract,"$5,549,200",-,-,"$5,549,200",100%
408,Aqua Teen Hunger Force Colon Movie Film for Theaters,"$5,520,368","$5,520,368",100%,-,-
409,Paragraph 78,"$5,484,185",-,-,"$5,484,185",100%
410,The Lookout,"$5,371,181","$4,600,585",85.7%,"$770,596",14.3%
411,3 amis,"$5,365,206",-,-,"$5,365,206",100%
412,Brothers,"$5,318,141",-,-,"$5,318,141",100%
413,Whisper,"$5,285,197",-,-,"$5,285,197",100%
414,Saint-Jacques... La Mecque 2007 Re-release,"$5,284,796",-,-,"$5,284,796",100%
415,Joy: The Real Love Story,"$5,262,711",-,-,"$5,262,711",100%
416,Gloss,"$5,223,223",-,-,"$5,223,223",100%
417,The Ex,"$5,178,640","$3,093,394",59.7%,"$2,085,246",40.3%
418,The Grocer's Son,"$5,095,496","$264,889",5.2%,"$4,830,607",94.8%
419,Two Faces of My Girlfriend,"$5,079,676",-,-,"$5,079,676",100%
420,Naqaab,"$4,966,337",-,-,"$4,966,337",100%
421,Shrooms,"$4,954,621","$2,863",<0.1%,"$4,951,758",99.9%
422,Black Sheep,"$4,947,717","$84,283",1.7%,"$4,863,434",98.3%
423,One Foundation,"$4,927,651",-,-,"$4,927,651",100%
424,Killer Babes,"$4,895,256",-,-,"$4,895,256",100%
425,The Crown Witness,"$4,891,205",-,-,"$4,891,205",100%
426,Sleuth,"$4,889,751","$342,895",7%,"$4,546,856",93%
427,Kutsal Damacana,"$4,866,495",-,-,"$4,866,495",100%
428,Dhol,"$4,862,092",-,-,"$4,862,092",100%
429,Honeymoon Travels Pvt. Ltd.,"$4,857,890",-,-,"$4,857,890",100%
430,Roman de gare,"$4,841,132","$1,852,764",38.3%,"$2,988,368",61.7%
431,Military Academy,"$4,802,665",-,-,"$4,802,665",100%
432,Talk to Me,"$4,778,376","$4,533,261",94.9%,"$245,115",5.1%
433,The Girl by the Lake,"$4,741,986",-,-,"$4,741,986",100%
434,Dinosaurs: Giants of Patagonia,"$4,725,325",-,-,"$4,725,325",100%
435,Walking My Life,"$4,720,348",-,-,"$4,720,348",100%
436,Kickin' It Old Skool,"$4,692,108","$4,502,604",96%,"$189,504",4%
437,V ozhidanii chuda,"$4,674,220",-,-,"$4,674,220",100%
438,Rogue,"$4,631,926","$10,452",0.2%,"$4,621,474",99.8%
439,Triangle,"$4,629,317",-,-,"$4,629,317",100%
440,The Other Boy,"$4,616,732",-,-,"$4,616,732",100%
441,Epitaph,"$4,584,035",-,-,"$4,584,035",100%
442,Wide Awake,"$4,569,780",-,-,"$4,569,780",100%
443,Paranoid Park,"$4,545,747","$486,767",10.7%,"$4,058,980",89.3%
444,Sergeant Keroro Super Movie 2: The Deep Sea Princess de arimasu!,"$4,517,857",-,-,"$4,517,857",100%
445,Day Watch 2007 Re-release,"$4,506,717","$450,897",10%,"$4,055,820",90%
446,Mirai yosouzu,"$4,431,542",-,-,"$4,431,542",100%
447,The Class,"$4,409,042",-,-,"$4,409,042",100%
448,"Ce soir, je dors chez toi","$4,343,799",-,-,"$4,343,799",100%
449,Rys,"$4,262,066",-,-,"$4,262,066",100%
450,Christmas Story,"$4,258,430",-,-,"$4,258,430",100%
451,Mushi-Shi: The Movie,"$4,254,482",-,-,"$4,254,482",100%
452,Fool N Final,"$4,242,559",-,-,"$4,242,559",100%
453,Hellphone,"$4,237,092",-,-,"$4,237,092",100%
454,Boku wa imôto ni koi wo suru,"$4,235,111",-,-,"$4,235,111",100%
455,Blood Brothers,"$4,234,311",-,-,"$4,234,311",100%
456,Towards Zero,"$4,202,099",-,-,"$4,202,099",100%
457,The Second Wind,"$4,195,364",-,-,"$4,195,364",100%
458,A Dinner for Them to Meet,"$4,173,202",-,-,"$4,173,202",100%
459,It's a Wonderful Life 2007 Re-release,"$4,163,338",-,-,"$4,163,338",100%
460,The Abandoned,"$4,153,578","$1,331,137",32%,"$2,822,441",68%
461,Glasses,"$4,116,864",-,-,"$4,116,864",100%
462,La leyenda de la Nahuala,"$4,038,144",-,-,"$4,038,144",100%
463,L'île aux trésors,"$4,026,509",-,-,"$4,026,509",100%
464,Kid Power,"$3,976,812",-,-,"$3,976,812",100%
465,Anja & Viktor 2007 Re-release,"$3,959,726",-,-,"$3,959,726",100%
466,Miss Gold Digger,"$3,948,507",-,-,"$3,948,507",100%
467,Robot Taekwon V,"$3,912,160",-,-,"$3,912,160",100%
468,Lezioni di cioccolato,"$3,909,492",-,-,"$3,909,492",100%
469,L'ennemi intime,"$3,908,035",-,-,"$3,908,035",100%
470,Kisaragi,"$3,879,422",-,-,"$3,879,422",100%
471,The Cut,"$3,878,451",-,-,"$3,878,451",100%
472,Where Is Winky's Horse?,"$3,849,263",-,-,"$3,849,263",100%
473,Gracie,"$3,826,568","$2,956,339",77.3%,"$870,229",22.7%
474,Awarapan,"$3,811,744",-,-,"$3,811,744",100%
475,Sultanes del Sur,"$3,798,840",-,-,"$3,798,840",100%
476,Brick Lane,"$3,794,592","$1,095,398",28.9%,"$2,699,194",71.1%
477,Nitro,"$3,780,889","$3,768,878",99.7%,"$12,011",0.3%
478,Doraemon the Movie: Nobita's Dinosaur 2007 Re-release,"$3,776,900",-,-,"$3,776,900",100%
479,Bheja Fry,"$3,773,555",-,-,"$3,773,555",100%
480,You Kill Me,"$3,748,295","$2,429,367",64.8%,"$1,318,928",35.2%
481,The Wind of Fear,"$3,742,078",-,-,"$3,742,078",100%
482,One More Chance,"$3,732,713",-,-,"$3,732,713",100%
483,My Mother and Her Guest,"$3,678,935",-,-,"$3,678,935",100%
484,Kaidan,"$3,646,201",-,-,"$3,646,201",100%
485,The Shadow Spirit,"$3,643,005",-,-,"$3,643,005",100%
486,26 Years Diary,"$3,614,835",-,-,"$3,614,835",100%
487,Primo Basílio,"$3,584,330",-,-,"$3,584,330",100%
488,Mushi King-Love and Berry,"$3,583,712",-,-,"$3,583,712",100%
489,Bliss,"$3,565,322",-,-,"$3,565,322",100%
490,Shoppen,"$3,557,797",-,-,"$3,557,797",100%
491,Prey,"$3,533,999",-,-,"$3,533,999",100%
492,Dus Kahaniyaan,"$3,526,678","$219,071",6.2%,"$3,307,607",93.8%
493,Free and Easy 18,"$3,523,724",-,-,"$3,523,724",100%
494,Café solo o con ellas,"$3,493,166",-,-,"$3,493,166",100%
495,My Tutor Friend 2,"$3,479,481",-,-,"$3,479,481",100%
496,Say Hello for Me,"$3,479,155",-,-,"$3,479,155",100%
497,Centochiodi,"$3,470,293",-,-,"$3,470,293",100%
498,Derzkie dni,"$3,455,323",-,-,"$3,455,323",100%
499,The Ultimate Gift,"$3,438,735","$3,438,735",100%,-,-
500,Days of Darkness,"$3,414,681","$1,491,525",43.7%,"$1,923,156",56.3%
501,Chacha,"$3,372,123",-,-,"$3,372,123",100%
502,Nulevoy kilometr,"$3,360,452",-,-,"$3,360,452",100%
503,Skalolazka and the Latter from the Seventh Cradle,"$3,350,586",-,-,"$3,350,586",100%
504,Outlaw,"$3,345,818",-,-,"$3,345,818",100%
505,Summer Days with Coo,"$3,333,389",-,-,"$3,333,389",100%
506,Fireflies in the Garden,"$3,322,561",-,-,"$3,322,561",100%
507,K3 en de kattenprins,"$3,290,682",-,-,"$3,290,682",100%
508,Skinwalkers,"$3,269,736","$1,018,965",31.2%,"$2,250,771",68.8%
509,Peaceful Warrior 2007 Re-release,"$3,260,179","$2,893,666",88.8%,"$366,513",11.2%
510,Resurrecting the Champ,"$3,243,064","$3,172,573",97.8%,"$70,491",2.2%
511,Please Don't Go,"$3,221,635",-,-,"$3,221,635",100%
512,Stellungswechsel,"$3,219,449",-,-,"$3,219,449",100%
513,Runaway Horse,"$3,197,056",-,-,"$3,197,056",100%
514,The Junior Olsen Gang and the Silver Mine Mystery,"$3,130,306",-,-,"$3,130,306",100%
515,The Secret of the Magic Gourd,"$3,130,137",-,-,"$3,130,137",100%
516,The Worst Guy Ever,"$3,124,444",-,-,"$3,124,444",100%
